smiles,name
CP(C)(C)=O,trimethylphosphine oxide
O=P(CC)(CC)CC,triethylphosphine oxide
O=P(CCC)(CCC)CCC,tripropylphosphine oxide
O=P(CCCC)(CCCC)CCCC,tributylphosphine oxide
O=P(CCCCC)(CCCCC)CCCCC,tripentylphosphine oxide
O=P(CCCCCC)(CCCCCC)CCCCCC,trihexylphosphine oxide
O=P(CCCCCCC)(CCCCCCC)CCCCCCC,triheptylphosphine oxide
O=P(CCCCCCCC)(CCCCCCCC)CCCCCCCC,trioctylphosphine oxide
O=P(CCCCCCCCC)(CCCCCCCCC)CCCCCCCCC,trinonylphosphine oxide
O=P(CCCCCCCCCC)(CCCCCCCCCC)CCCCCCCCCC,tris(decyl)phosphine oxide
CS(C)=O,(methylsulfinyl)methane
CS(CC)=O,(methylsulfinyl)ethane
CS(CCC)=O,1-(methylsulfinyl)propane
CS(CCCC)=O,1-(methylsulfinyl)butane
CS(CCCCC)=O,1-(methylsulfinyl)pentane
CS(CCCCCC)=O,1-(methylsulfinyl)hexane
CS(CCCCCCC)=O,1-(methylsulfinyl)heptane
CS(CCCCCCCC)=O,1-(methylsulfinyl)octane
CS(CCCCCCCCC)=O,1-(methylsulfinyl)nonane
CS(CCCCCCCCCC)=O,1-(methylsulfinyl)decane
CS(CCCCCCCCCCC)=O,1-(methylsulfinyl)undecane
CS(CCCCCCCCCCCC)=O,1-(methylsulfinyl)dodecane
CS(CCCCCCCCCCCCC)=O,1-(methylsulfinyl)tridecane
O=S(CC)CC,(ethylsulfinyl)ethane
O=S(CCC)CCC,1-(propylsulfinyl)propane
O=S(CCCC)CCCC,1-(butylsulfinyl)butane
O=S(CCCCC)CCCCC,1-(pentylsulfinyl)pentane
O=S(CCCCCC)CCCCCC,1-(hexylsulfinyl)hexane
O=S(CCCCCCC)CCCCCCC,1-(heptylsulfinyl)heptane
O=S(CCCCCCCC)CCCCCCCC,1-(octylsulfinyl)octane
O=S(CCCCCCCCC)CCCCCCCCC,1-(nonylsulfinyl)nonane
O=S(CCCCCCCCCC)CCCCCCCCCC,1-(decylsulfinyl)decane
O=S(CCCCCCCCCCC)CCCCCCCCCCC,1-(undecylsulfinyl)undecane
O=S(CCCCCCCCCCCC)CCCCCCCCCCCC,1-(dodecylsulfinyl)dodecane
O=S(CCCCCCCCCCCCC)CCCCCCCCCCCCC,1-(tridecylsulfinyl)tridecane
O=C(N(C)C)N(C)C,"1,1,3,3-tetramethylurea"
O=C(N(C)CC)N(C)CC,"1,3-diethyl-1,3-dimethylurea"
O=C(N(CC)CC)N(CC)CC,"1,1,3,3-tetraethylurea"
O=C(N(CC)CCC)N(CC)CCC,"1,3-diethyl-1,3-dipropylurea"
O=C(N(CCC)CCC)N(CCC)CCC,"1,1,3,3-tetrapropylurea"
O=C(N(CCC)CCCC)N(CCC)CCCC,"1,3-dibutyl-1,3-dipropylurea"
O=C(N(CCCC)CCCC)N(CCCC)CCCC,"1,1,3,3-tetrabutylurea"
O=C(N(CCCC)CCCCC)N(CCCC)CCCCC,"1,3-dibutyl-1,3-dipentylurea"
O=C(N(CCCCC)CCCCC)N(CCCCC)CCCCC,"1,1,3,3-tetrapentylurea"
O=C(N(CCCCC)CCCCCC)N(CCCCC)CCCCCC,"1,3-dihexyl-1,3-dipentylurea"
O=C(N(CCCCCC)CCCCCC)N(CCCCCC)CCCCCC,"1,1,3,3-tetrahexylurea"
O=C(N(CCCCCC)CCCCCCC)N(CCCCCC)CCCCCCC,"1,3-diheptyl-1,3-dihexylurea"
S=C(N(C)C)N(C)C,"1,1,3,3-tetramethylthiourea"
S=C(N(CC)C)N(C)CC,"1,3-diethyl-1,3-dimethylthiourea"
S=C(N(CCC)C)N(C)CCC,"1,3-dimethyl-1,3-dipropylthiourea"
S=C(N(CCCC)C)N(C)CCCC,"1,3-dibutyl-1,3-dimethylthiourea"
S=C(N(CCCCC)C)N(C)CCCCC,"1,3-dimethyl-1,3-dipentylthiourea"
S=C(N(CCCCCC)C)N(C)CCCCCC,"1,3-dihexyl-1,3-dimethylthiourea"
