name,MaxEStateIndex,MinEStateIndex,MaxAbsEStateIndex,MinAbsEStateIndex,qed,MolWt,HeavyAtomMolWt,ExactMolWt,NumValenceElectrons,NumRadicalElectrons,MaxPartialCharge,MinPartialCharge,MaxAbsPartialCharge,MinAbsPartialCharge,FpDensityMorgan1,FpDensityMorgan2,FpDensityMorgan3,BCUT2D_MWHI,BCUT2D_MWLOW,BCUT2D_CHGHI,BCUT2D_CHGLO,BCUT2D_LOGPHI,BCUT2D_LOGPLOW,BCUT2D_MRHI,BCUT2D_MRLOW,BalabanJ,BertzCT,Chi0,Chi0n,Chi0v,Chi1,Chi1n,Chi1v,Chi2n,Chi2v,Chi3n,Chi3v,Chi4n,Chi4v,HallKierAlpha,Ipc,Kappa1,Kappa2,Kappa3,LabuteASA,PEOE_VSA1,PEOE_VSA10,PEOE_VSA11,PEOE_VSA12,PEOE_VSA13,PEOE_VSA14,PEOE_VSA2,PEOE_VSA3,PEOE_VSA4,PEOE_VSA5,PEOE_VSA6,PEOE_VSA7,PEOE_VSA8,PEOE_VSA9,SMR_VSA1,SMR_VSA10,SMR_VSA2,SMR_VSA3,SMR_VSA4,SMR_VSA5,SMR_VSA6,SMR_VSA7,SMR_VSA8,SMR_VSA9,SlogP_VSA1,SlogP_VSA10,SlogP_VSA11,SlogP_VSA12,SlogP_VSA2,SlogP_VSA3,SlogP_VSA4,SlogP_VSA5,SlogP_VSA6,SlogP_VSA7,SlogP_VSA8,SlogP_VSA9,TPSA,EState_VSA1,EState_VSA10,EState_VSA11,EState_VSA2,EState_VSA3,EState_VSA4,EState_VSA5,EState_VSA6,EState_VSA7,EState_VSA8,EState_VSA9,VSA_EState1,VSA_EState10,VSA_EState2,VSA_EState3,VSA_EState4,VSA_EState5,VSA_EState6,VSA_EState7,VSA_EState8,VSA_EState9,FractionCSP3,HeavyAtomCount,NHOHCount,NOCount,NumAliphaticCarbocycles,NumAliphaticHeterocycles,NumAliphaticRings,NumAromaticCarbocycles,NumAromaticHeterocycles,NumAromaticRings,NumHAcceptors,NumHDonors,NumHeteroatoms,NumRotatableBonds,NumSaturatedCarbocycles,NumSaturatedHeterocycles,NumSaturatedRings,RingCount,MolLogP,MolMR,fr_Al_COO,fr_Al_OH,fr_Al_OH_noTert,fr_ArN,fr_Ar_COO,fr_Ar_N,fr_Ar_NH,fr_Ar_OH,fr_COO,fr_COO2,fr_C_O,fr_C_O_noCOO,fr_C_S,fr_HOCCN,fr_Imine,fr_NH0,fr_NH1,fr_NH2,fr_N_O,fr_Ndealkylation1,fr_Ndealkylation2,fr_Nhpyrrole,fr_SH,fr_aldehyde,fr_alkyl_carbamate,fr_alkyl_halide,fr_allylic_oxid,fr_amide,fr_amidine,fr_aniline,fr_aryl_methyl,fr_azide,fr_azo,fr_barbitur,fr_benzene,fr_benzodiazepine,fr_bicyclic,fr_diazo,fr_dihydropyridine,fr_epoxide,fr_ester,fr_ether,fr_furan,fr_guanido,fr_halogen,fr_hdrzine,fr_hdrzone,fr_imidazole,fr_imide,fr_isocyan,fr_isothiocyan,fr_ketone,fr_ketone_Topliss,fr_lactam,fr_lactone,fr_methoxy,fr_morpholine,fr_nitrile,fr_nitro,fr_nitro_arom,fr_nitro_arom_nonortho,fr_nitroso,fr_oxazole,fr_oxime,fr_para_hydroxylation,fr_phenol,fr_phenol_noOrthoHbond,fr_phos_acid,fr_phos_ester,fr_piperdine,fr_piperzine,fr_priamide,fr_prisulfonamd,fr_pyridine,fr_quatN,fr_sulfide,fr_sulfonamd,fr_sulfone,fr_term_acetylene,fr_tetrazole,fr_thiazole,fr_thiocyan,fr_thiophene,fr_unbrch_alkane,fr_urea
trimethylphosphine oxide,10.215277777777779,-1.638888888888889,10.215277777777779,1.638888888888889,0.4106492589386069,92.07799999999999,83.00599999999999,92.039101538,32,0,0.07896308766654252,-0.32441501924765453,0.32441501924765453,0.07896308766654252,1.2,1.2,1.2,31.163638790374048,11.855143433013291,1.8876168729214116,-1.862911092419536,2.279553713445213,-1.6070814330824321,7.610231826377122,0.5859042224902177,3.472066495600119,53.028652363530185,4.5,3.855461885963821,4.749889076963737,2.0,1.5242149723349292,4.572644917004787,1.88936334400504,5.66809003201512,0.0,0.0,0.0,0.0,0.22999999999999998,-666,5.23,1.1370231804374322,397.6439886578453,32.75873515671615,4.565048284931329,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.994476812697606,0.0,7.1418927340993115,4.565048284931329,7.1418927340993115,0.0,0.0,0.0,0.0,19.994476812697606,0.0,0.0,0.0,0.0,0.0,0.0,7.1418927340993115,19.994476812697606,4.565048284931329,0.0,0.0,0.0,0.0,0.0,0.0,17.07,7.1418927340993115,4.565048284931329,0.0,0.0,0.0,0.0,0.0,19.994476812697606,0.0,0.0,0.0,10.215277777777779,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.229166666666667,-1.638888888888889,1.0,5,0,1,0,0,0,0,0,0,1,0,2,0,0,0,0,0,1.2389,25.37849999999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
triethylphosphine oxide,11.319444444444445,-1.662037037037037,11.319444444444445,0.875,0.5415031182564528,134.159,119.03899999999997,134.08605173,50,0,0.086913083587784,-0.3235873845122927,0.3235873845122927,0.086913083587784,1.0,1.25,1.25,31.164081619961998,10.933114919711539,2.1131841861239553,-2.083438021628738,2.4290927928611095,-1.8999759037215802,7.633094364128177,0.5765342345329432,3.7910098125875016,79.68210765868758,6.621320343559643,5.976782229523463,6.87120942052338,3.6819805153394642,3.2525778274452115,5.515092795216349,2.006802025921192,6.020406077763576,1.728939121120615,5.186817363361845,0.6708203932499367,2.0124611797498106,0.22999999999999998,-666,8.23,3.293904386398397,2.0002672405799076,51.85356149990597,4.565048284931329,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.771211599071872,18.485730082403762,0.0,7.1418927340993115,4.565048284931329,7.1418927340993115,0.0,0.0,0.0,20.771211599071872,18.485730082403762,0.0,0.0,0.0,0.0,0.0,0.0,7.1418927340993115,18.485730082403762,4.565048284931329,0.0,20.771211599071872,0.0,0.0,0.0,0.0,17.07,7.1418927340993115,4.565048284931329,0.0,0.0,0.0,18.485730082403762,0.0,0.0,20.771211599071872,0.0,0.0,11.319444444444445,0.0,0.0,0.0,0.0,0.0,0.0,2.625,6.023148148148148,-1.662037037037037,1.0,8,0,1,0,0,0,0,0,0,1,0,2,3,0,0,0,0,2.4092000000000002,39.2295,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tripropylphosphine oxide,12.013194444444444,-1.7193287037037035,12.013194444444444,0.9669444444444444,0.5651716734245349,176.23999999999998,155.07199999999997,176.13300192199998,68,0,0.08768832712427041,-0.32355631707726284,0.32355631707726284,0.08768832712427041,0.8181818181818182,1.0909090909090908,1.2727272727272727,31.164084111987783,10.558127310947654,2.1703331670963646,-2.1459291219400836,2.464929693049229,-1.9757602866751156,7.634106782175227,0.5711458742234241,3.908471949775869,107.74998528121212,8.742640687119287,8.098102573083107,8.992529764083024,5.181980515339465,4.7525778274452115,7.015092795216349,3.228939121120615,6.686817363361845,1.8933649700530337,5.680094910159099,1.557954773428065,4.673864320284194,0.22999999999999998,-666,11.23,5.8267464694473405,4.63257426311852,70.94838784309577,4.565048284931329,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.771211599071872,19.26246486877803,18.485730082403762,7.1418927340993115,4.565048284931329,7.1418927340993115,0.0,0.0,0.0,40.0336764678499,18.485730082403762,0.0,0.0,0.0,0.0,0.0,0.0,7.1418927340993115,18.485730082403762,4.565048284931329,0.0,40.0336764678499,0.0,0.0,0.0,0.0,17.07,7.1418927340993115,4.565048284931329,0.0,0.0,0.0,37.748194951181794,0.0,0.0,0.0,20.771211599071872,0.0,12.013194444444444,0.0,0.0,0.0,0.0,0.0,0.0,6.142731481481482,6.3689583333333335,-1.7193287037037035,1.0,11,0,1,0,0,0,0,0,0,1,0,2,6,0,0,0,0,3.579500000000002,53.08050000000004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tributylphosphine oxide,12.48986111111111,-1.7689120370370366,12.48986111111111,1.003472222222222,0.5102909171327876,218.32099999999994,191.10499999999996,218.17995211399997,86,0,0.08771870152141463,-0.32355579037484755,0.32355579037484755,0.08771870152141463,0.7142857142857143,1.0,1.2142857142857142,31.164084426432183,10.371627781988701,2.188681978985857,-2.1685800206556105,2.475634052179802,-2.0012312660227156,7.634168131048226,0.5670510497678524,3.9659458850842926,137.17533939802803,10.86396103067893,10.21942291664275,11.113850107642666,6.681980515339465,6.2525778274452115,8.515092795216349,4.289599292900435,7.747477535141667,2.7575463976081744,6.1513188492648805,1.674221406210532,5.022664218631598,0.22999999999999998,-666,14.229999999999999,8.531255556623782,6.64945670866801,90.04321418628562,4.565048284931329,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0336764678499,19.26246486877803,18.485730082403762,7.1418927340993115,4.565048284931329,7.1418927340993115,0.0,0.0,0.0,59.296141336627926,18.485730082403762,0.0,0.0,0.0,0.0,0.0,0.0,7.1418927340993115,18.485730082403762,4.565048284931329,0.0,59.296141336627926,0.0,0.0,0.0,0.0,17.07,7.1418927340993115,4.565048284931329,0.0,0.0,0.0,37.748194951181794,19.26246486877803,0.0,0.0,20.771211599071872,0.0,12.48986111111111,0.0,0.0,0.0,0.0,0.0,0.0,10.031090325018896,6.553516156462585,-1.7689120370370366,1.0,14,0,1,0,0,0,0,0,0,1,0,2,9,0,0,0,0,4.749800000000004,66.93150000000006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tripentylphosphine oxide,12.837650226757368,-1.8084490740740742,12.837650226757368,1.0220918367346938,0.3142318458058427,260.40199999999993,227.13799999999995,260.226902306,104,0,0.08771922697344889,-0.3235557861845175,0.3235557861845175,0.08771922697344889,0.5882352941176471,0.8823529411764706,1.1176470588235294,31.164084684094426,10.266411813236296,2.1955197450415125,-2.177739287621966,2.479303251234404,-2.0108130705282115,7.63417699033804,0.5638881104144503,3.998982972846674,167.8142880720248,12.985281374238573,12.340743260202395,13.23517045120231,8.181980515339465,7.7525778274452115,10.015092795216349,5.350259464680257,8.808137706921489,3.507546397608174,6.9013188492648805,2.285289953810244,5.355869861430732,0.22999999999999998,-666,17.229999999999997,11.327784781464612,9.88905933478148,109.13804052947545,4.565048284931329,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.296141336627926,19.26246486877803,18.485730082403762,7.1418927340993115,4.565048284931329,7.1418927340993115,0.0,0.0,0.0,78.55860620540597,18.485730082403762,0.0,0.0,0.0,0.0,0.0,0.0,7.1418927340993115,18.485730082403762,4.565048284931329,0.0,78.55860620540597,0.0,0.0,0.0,0.0,17.07,7.1418927340993115,4.565048284931329,0.0,0.0,0.0,18.485730082403762,57.787394606334104,0.0,0.0,20.771211599071872,0.0,12.837650226757368,0.0,0.0,0.0,0.0,0.0,0.0,14.112386621315192,6.6639677815570675,-1.8084490740740742,1.0,17,0,1,0,0,0,0,0,0,1,0,2,12,0,0,0,0,5.920100000000006,80.78250000000007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
trihexylphosphine oxide,13.102637471655328,-1.8399116591080864,13.102637471655328,1.0329861111111112,0.23294733057859834,302.48300000000006,263.17099999999994,302.273852498,122,0,0.0877192311922318,-0.3235557861685604,0.3235557861685604,0.0877192311922318,0.5,0.8,1.05,31.164084939027042,10.201199151255134,2.198394085754714,-2.1818105220558315,2.4807303214012064,-2.014812700324199,7.634180965470797,0.5608809078344535,4.020040863579284,199.53362134321412,15.106601717798217,14.462063603762036,15.356490794761953,9.681980515339466,9.252577827445212,11.515092795216349,6.410919636460078,9.868797878701308,4.257546397608174,7.6513188492648805,2.8156200397001543,5.886199947320643,0.22999999999999998,-666,20.23,14.179229542797644,12.007628286210581,128.23286687266528,4.565048284931329,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78.55860620540597,19.26246486877803,18.485730082403762,7.1418927340993115,4.565048284931329,7.1418927340993115,0.0,0.0,0.0,97.821071074184,18.485730082403762,0.0,0.0,0.0,0.0,0.0,0.0,7.1418927340993115,18.485730082403762,4.565048284931329,0.0,97.821071074184,0.0,0.0,0.0,0.0,17.07,7.1418927340993115,4.565048284931329,0.0,0.0,0.0,18.485730082403762,77.04985947511214,0.0,0.0,20.771211599071872,0.0,13.102637471655328,0.0,0.0,0.0,0.0,0.0,0.0,18.30745339917418,6.735376343834137,-1.8399116591080864,1.0,20,0,1,0,0,0,0,0,0,1,0,2,15,0,0,0,0,7.090400000000007,94.63350000000008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0
triheptylphosphine oxide,13.311260156840515,-1.8652889975434614,13.311260156840515,1.0399502393550013,0.18053248792811824,344.5640000000002,299.204,344.32080269,140,0,0.08771923120836699,-0.3235557861685311,0.3235557861685311,0.08771923120836699,0.43478260869565216,0.6956521739130435,0.9565217391304348,31.16408519390174,10.158194017684966,2.1997572999726467,-2.18363281687377,2.481371559414979,-2.016471506610299,7.6341841909951205,0.5581681268714684,4.0344623989987936,232.22114722671193,17.22792206135786,16.58338394732168,17.477811138321595,11.181980515339466,10.752577827445212,13.015092795216349,7.4715798082399,10.929458050481127,5.007546397608174,8.401318849264879,3.345950125590065,6.416530033210552,0.22999999999999998,-666,23.230000000000004,17.066034637789013,15.496170992699794,147.3276932158551,4.565048284931329,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97.821071074184,19.26246486877803,18.485730082403762,7.1418927340993115,4.565048284931329,7.1418927340993115,0.0,0.0,0.0,117.08353594296204,18.485730082403762,0.0,0.0,0.0,0.0,0.0,0.0,7.1418927340993115,18.485730082403762,4.565048284931329,0.0,117.08353594296204,0.0,0.0,0.0,0.0,17.07,7.1418927340993115,4.565048284931329,0.0,0.0,0.0,18.485730082403762,96.31232434389018,0.0,0.0,20.771211599071872,0.0,13.311260156840515,0.0,0.0,0.0,0.0,0.0,0.0,22.575363059340024,6.784221336918483,-1.8652889975434614,1.0,23,0,1,0,0,0,0,0,0,1,0,2,18,0,0,0,0,8.260700000000005,108.4845000000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0
trioctylphosphine oxide,13.479778675359032,-1.8860901806710337,13.479778675359032,1.0446875,0.14170872066343598,386.64500000000027,335.2370000000001,386.367752882,158,0,0.08771923120839664,-0.32355578616853103,0.32355578616853103,0.08771923120839664,0.38461538461538464,0.6153846153846154,0.8846153846153846,31.164085448858053,10.128270628923488,2.2004945526750546,-2.184511784374862,2.4817118556765294,-2.017227183856652,7.634187278855294,0.5552646285938169,4.044873528639152,265.78362887671227,19.349242404917497,18.70470429088132,19.599131481881233,12.681980515339465,12.252577827445212,14.515092795216349,8.532239980019721,11.990118222260946,5.757546397608174,9.151318849264879,3.876280211479976,6.946860119100462,0.22999999999999998,-666,26.230000000000004,19.976932220988793,17.634232035992145,166.42251955904499,4.565048284931329,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,117.08353594296204,19.26246486877803,18.485730082403762,7.1418927340993115,4.565048284931329,7.1418927340993115,0.0,0.0,0.0,136.34600081174008,18.485730082403762,0.0,0.0,0.0,0.0,0.0,0.0,7.1418927340993115,18.485730082403762,4.565048284931329,0.0,136.34600081174008,0.0,0.0,0.0,0.0,17.07,7.1418927340993115,4.565048284931329,0.0,0.0,0.0,18.485730082403762,115.57478921266822,0.0,0.0,20.771211599071872,0.0,13.479778675359032,0.0,0.0,0.0,0.0,0.0,0.0,26.892758892673353,6.819108168194203,-1.8860901806710337,1.0,26,0,1,0,0,0,0,0,0,1,0,2,21,0,0,0,0,9.431,122.33550000000011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0
trinonylphosphine oxide,13.618745617507791,-1.9034049954858487,13.618745617507791,1.0480626976839098,0.11027866447657458,428.7260000000004,371.27000000000015,428.414703074,176,0,0.08771923120839667,-0.32355578616853103,0.32355578616853103,0.08771923120839667,0.3448275862068966,0.5517241379310345,0.7931034482758621,31.164085703903233,10.10669275406126,2.2009522701958604,-2.18491164359956,2.4819263604662023,-2.017540413998304,7.634190343881963,0.5524087438025164,4.052698358139224,300.14319698151087,21.470562748477136,20.82602463444096,21.720451825440872,14.181980515339465,13.752577827445212,16.015092795216347,9.59290015179954,13.050778394040766,6.507546397608174,9.901318849264879,4.406610297369887,7.477190204990372,0.22999999999999998,-666,29.23,22.904977340445054,21.25353453165165,185.5173459022348,4.565048284931329,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,136.34600081174008,19.26246486877803,18.485730082403762,7.1418927340993115,4.565048284931329,7.1418927340993115,0.0,0.0,0.0,155.60846568051812,18.485730082403762,0.0,0.0,0.0,0.0,0.0,0.0,7.1418927340993115,18.485730082403762,4.565048284931329,0.0,155.60846568051812,0.0,0.0,0.0,0.0,17.07,7.1418927340993115,4.565048284931329,0.0,0.0,0.0,18.485730082403762,134.83725408144625,0.0,0.0,20.771211599071872,0.0,13.618745617507791,0.0,0.0,0.0,0.0,0.0,0.0,31.245320656667268,6.844894276866352,-1.9034049954858487,1.0,29,0,1,0,0,0,0,0,0,1,0,2,24,0,0,0,0,10.601299999999991,136.18650000000002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0
tris(decyl)phosphine oxide,13.735308978389336,-1.9180193205547191,13.735308978389336,1.0505555555555555,0.0861054262967962,470.8070000000005,407.3030000000002,470.461653266,194,0,0.08771923120839667,-0.32355578616853103,0.32355578616853103,0.08771923120839667,0.3125,0.5,0.71875,31.164085959037727,10.090575224868212,2.201276477707233,-2.1851153474023253,2.4820840220484732,-2.017693763053653,7.634193408998753,0.5492429209830195,4.058768990274948,335.2341811623251,23.591883092036774,22.947344978000597,23.841772169000514,15.681980515339465,15.25257782744521,17.515092795216347,10.65356032357936,14.111438565820587,7.257546397608174,10.651318849264879,4.936940383259796,8.007520290880281,0.22999999999999998,-666,32.22999999999999,25.845658164142723,23.39026247723646,204.61217224542466,4.565048284931329,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,155.60846568051812,19.26246486877803,18.485730082403762,7.1418927340993115,4.565048284931329,7.1418927340993115,0.0,0.0,0.0,174.87093054929616,18.485730082403762,0.0,0.0,0.0,0.0,0.0,0.0,7.1418927340993115,18.485730082403762,4.565048284931329,0.0,174.87093054929616,0.0,0.0,0.0,0.0,17.07,7.1418927340993115,4.565048284931329,0.0,0.0,0.0,18.485730082403762,154.0997189502243,0.0,0.0,20.771211599071872,0.0,13.735308978389336,0.0,0.0,0.0,0.0,0.0,0.0,35.62377349275923,6.864492404961711,-1.9180193205547191,1.0,32,0,1,0,0,0,0,0,0,1,0,2,27,0,0,0,0,11.771599999999985,150.03749999999985,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0
