fusH,MaxEStateIndex,MinEStateIndex,MaxAbsEStateIndex,MinAbsEStateIndex,qed,MolWt,HeavyAtomMolWt,ExactMolWt,NumValenceElectrons,NumRadicalElectrons,MaxPartialCharge,MinPartialCharge,MaxAbsPartialCharge,MinAbsPartialCharge,FpDensityMorgan1,FpDensityMorgan2,FpDensityMorgan3,BCUT2D_MWHI,BCUT2D_MWLOW,BCUT2D_CHGHI,BCUT2D_CHGLO,BCUT2D_LOGPHI,BCUT2D_LOGPLOW,BCUT2D_MRHI,BCUT2D_MRLOW,BalabanJ,BertzCT,Chi0,Chi0n,Chi0v,Chi1,Chi1n,Chi1v,Chi2n,Chi2v,Chi3n,Chi3v,Chi4n,Chi4v,HallKierAlpha,Ipc,Kappa1,Kappa2,Kappa3,LabuteASA,PEOE_VSA1,PEOE_VSA10,PEOE_VSA11,PEOE_VSA12,PEOE_VSA13,PEOE_VSA14,PEOE_VSA2,PEOE_VSA3,PEOE_VSA4,PEOE_VSA5,PEOE_VSA6,PEOE_VSA7,PEOE_VSA8,PEOE_VSA9,SMR_VSA1,SMR_VSA10,SMR_VSA2,SMR_VSA3,SMR_VSA4,SMR_VSA5,SMR_VSA6,SMR_VSA7,SMR_VSA8,SMR_VSA9,SlogP_VSA1,SlogP_VSA10,SlogP_VSA11,SlogP_VSA12,SlogP_VSA2,SlogP_VSA3,SlogP_VSA4,SlogP_VSA5,SlogP_VSA6,SlogP_VSA7,SlogP_VSA8,SlogP_VSA9,TPSA,EState_VSA1,EState_VSA10,EState_VSA11,EState_VSA2,EState_VSA3,EState_VSA4,EState_VSA5,EState_VSA6,EState_VSA7,EState_VSA8,EState_VSA9,VSA_EState1,VSA_EState10,VSA_EState2,VSA_EState3,VSA_EState4,VSA_EState5,VSA_EState6,VSA_EState7,VSA_EState8,VSA_EState9,FractionCSP3,HeavyAtomCount,NHOHCount,NOCount,NumAliphaticCarbocycles,NumAliphaticHeterocycles,NumAliphaticRings,NumAromaticCarbocycles,NumAromaticHeterocycles,NumAromaticRings,NumHAcceptors,NumHDonors,NumHeteroatoms,NumRotatableBonds,NumSaturatedCarbocycles,NumSaturatedHeterocycles,NumSaturatedRings,RingCount,MolLogP,MolMR,fr_Al_COO,fr_Al_OH,fr_Al_OH_noTert,fr_ArN,fr_Ar_COO,fr_Ar_N,fr_Ar_NH,fr_Ar_OH,fr_COO,fr_COO2,fr_C_O,fr_C_O_noCOO,fr_C_S,fr_HOCCN,fr_Imine,fr_NH0,fr_NH1,fr_NH2,fr_N_O,fr_Ndealkylation1,fr_Ndealkylation2,fr_Nhpyrrole,fr_SH,fr_aldehyde,fr_alkyl_carbamate,fr_alkyl_halide,fr_allylic_oxid,fr_amide,fr_amidine,fr_aniline,fr_aryl_methyl,fr_azide,fr_azo,fr_barbitur,fr_benzene,fr_benzodiazepine,fr_bicyclic,fr_diazo,fr_dihydropyridine,fr_epoxide,fr_ester,fr_ether,fr_furan,fr_guanido,fr_halogen,fr_hdrzine,fr_hdrzone,fr_imidazole,fr_imide,fr_isocyan,fr_isothiocyan,fr_ketone,fr_ketone_Topliss,fr_lactam,fr_lactone,fr_methoxy,fr_morpholine,fr_nitrile,fr_nitro,fr_nitro_arom,fr_nitro_arom_nonortho,fr_nitroso,fr_oxazole,fr_oxime,fr_para_hydroxylation,fr_phenol,fr_phenol_noOrthoHbond,fr_phos_acid,fr_phos_ester,fr_piperdine,fr_piperzine,fr_priamide,fr_prisulfonamd,fr_pyridine,fr_quatN,fr_sulfide,fr_sulfonamd,fr_sulfone,fr_term_acetylene,fr_tetrazole,fr_thiazole,fr_thiocyan,fr_thiophene,fr_unbrch_alkane,fr_urea
21.49,2.2488425925925926,1.232824074074074,2.2488425925925926,1.232824074074074,0.5469607763108971,154.21199999999996,144.13199999999998,154.07825032,58,0,-0.011957882143257156,-0.06135478571963333,0.06135478571963333,0.011957882143257156,0.75,1.3333333333333333,1.9166666666666667,14.15714549910175,10.05821601447708,2.113963103101177,-1.9882727017518584,2.2940181826013,-1.7572979200534609,5.900871749175402,1.0240728583556171,2.5804055511266424,401.9826286215576,7.966255326250886,6.878315177510851,6.878315177510851,5.949489742783178,4.445140652899133,4.445140652899133,3.4323854630398465,3.4323854630398465,2.740964657296188,2.740964657296188,2.187781683228072,2.187781683228072,-1.2999999999999998,-666,6.2419430838861665,2.099553890588807,0.6722660271865917,71.83712072649614,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.39820241076966,34.7409946581756,0.0,0.0,0.0,10.772448428929591,0.0,0.0,0.0,12.841643245852019,0.0,47.52510539416365,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.841643245852019,0.0,11.126902983393991,36.39820241076966,0.0,10.772448428929591,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.7409946581756,0.0,0.0,36.39820241076966,0.0,0.0,0.0,0.0,2.918981481481482,3.0612962962962964,0.0,13.220740740740741,2.465648148148148,0.0,0.0,0.16666666666666666,12,0,0,1,0,1,2,0,2,0,0,0,0,0,0,0,3,2.9384000000000015,51.35600000000002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6.9,2.1782407407407405,1.3425925925925928,2.1782407407407405,1.3425925925925928,0.46321714038340994,152.19599999999997,144.13199999999998,152.062600256,56,0,-0.003885719243679549,-0.06103260040922264,0.06103260040922264,0.003885719243679549,0.6666666666666666,1.25,1.8333333333333333,14.097043423896997,10.048676393304932,2.0569792387155075,-1.9907214578615522,2.297863871188496,-1.756445737291493,6.040776329675997,1.71941756736155,2.642726571078704,437.6123343735664,7.966255326250886,6.618802153517008,6.618802153517008,5.949489742783178,4.148717474235545,4.148717474235545,3.1259255832441895,3.1259255832441895,2.4116091857671496,2.4116091857671496,1.8571224016819736,1.8571224016819736,-1.5599999999999996,-666,6.011788959998347,1.9775845210590959,0.620469022261133,71.14751769431189,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.55024262443742,21.899351412323583,0.0,0.0,0.0,22.924488642597353,0.0,0.0,0.0,0.0,0.0,47.52510539416365,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.126902983393991,36.39820241076966,0.0,22.924488642597353,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.899351412323583,0.0,0.0,48.55024262443742,0.0,0.0,0.0,0.0,2.7453703703703707,2.7001851851851857,0.0,12.864629629629633,4.356481481481481,0.0,0.0,0.0,12,0,0,1,0,1,2,0,2,0,0,0,0,0,0,0,3,3.3236000000000017,52.87600000000002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.31,8.805555555555555,0.75,8.805555555555555,0.75,0.35500761339323206,44.053,40.021,44.026214748,18,0,0.1164052831422626,-0.30371526986366926,0.30371526986366926,0.1164052831422626,2.0,2.0,2.0,16.12814585089842,10.960294041682554,1.2409923070832758,-1.2348845535859683,1.1286964310315497,-1.3580303671411733,5.439544344589547,-0.10561046336263406,2.1874960973678963,10.264662506490405,2.7071067811865475,1.9855985596534889,1.9855985596534889,1.4142135623730951,0.8130525295851417,0.8130525295851417,0.2357022603955159,0.2357022603955159,0.0,0.0,0.0,0.0,-0.33,-666,2.67,1.6699999999999997,1.6700000000000006,19.265715242269923,4.794537184071822,6.286160523129555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.923737199690624,0.0,0.0,4.794537184071822,6.286160523129555,0.0,0.0,0.0,6.923737199690624,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.286160523129555,4.794537184071822,0.0,6.923737199690624,0.0,0.0,0.0,0.0,17.07,0.0,0.0,0.0,0.0,0.0,6.286160523129555,6.923737199690624,0.0,0.0,0.0,4.794537184071822,0.0,0.0,8.805555555555555,0.0,0.0,0.0,0.0,0.75,1.4444444444444444,0.0,0.5,3,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0.2052,11.738000000000001,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15.59,9.222222222222221,-0.33333333333333304,9.222222222222221,0.33333333333333304,0.40103092275538377,59.068,54.028,59.03711378,24,0,0.2137901795921754,-0.36992058791265336,0.36992058791265336,0.2137901795921754,2.0,2.0,2.0,16.145299290756395,10.787745135300659,1.6112863134787967,-1.5972245549841213,1.3299202640290742,-2.0136900322904885,5.698924303380397,-0.11547170968274006,2.8030394876740514,29.019550008653873,3.5773502691896257,2.485598559653489,2.485598559653489,1.7320508075688772,0.9927992798267444,0.9927992798267444,0.6106504100245024,0.6106504100245024,0.0,0.0,0.0,0.0,-0.53,-666,3.4699999999999998,0.8748582995951415,1.1560092559629747,24.605605939282636,5.733667477162185,0.0,0.0,5.907179729351506,0.0,0.0,4.794537184071822,0.0,0.0,0.0,0.0,0.0,6.923737199690624,0.0,4.794537184071822,5.907179729351506,0.0,0.0,5.733667477162185,6.923737199690624,0.0,0.0,0.0,0.0,5.733667477162185,0.0,0.0,0.0,5.907179729351506,4.794537184071822,0.0,6.923737199690624,0.0,0.0,0.0,0.0,43.09,0.0,4.794537184071822,0.0,5.907179729351506,0.0,0.0,6.923737199690624,0.0,0.0,5.733667477162185,0.0,0.0,0.0,9.222222222222221,0.0,4.472222222222222,-0.33333333333333304,0.0,0.0,1.3055555555555556,0.0,0.5,4,2,2,0,0,0,0,0,0,1,1,2,0,0,0,0,0,-0.5084000000000002,14.868400000000001,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
30.5,10.524468537414966,-0.11510204081632636,10.524468537414966,0.11510204081632636,0.5950261967780849,151.165,142.093,151.063328528,58,0,0.22074743631242583,-0.5079643157925783,0.5079643157925783,0.22074743631242583,1.3636363636363635,1.9090909090909092,2.3636363636363638,16.25468871437965,10.280190859964755,1.9280360590359853,-1.9945540738765868,2.12524757916018,-2.04401131261029,5.88095478459792,-0.11373578338266109,2.7362980721056545,253.29949758389105,8.267584713501616,6.164862962722325,6.164862962722325,5.1815405503520555,3.2490981480278296,3.2490981480278296,2.228060242189872,2.228060242189872,1.1876733148984595,1.1876733148984595,0.7480265991539318,0.7480265991539318,-1.5099999999999998,-666,7.595374077976819,3.0531381005525,2.292303972882069,64.66690538413799,10.423315998847038,5.749511833283905,0.0,5.907179729351506,0.0,0.0,4.794537184071822,0.0,0.0,0.0,0.0,24.26546827384644,12.611123474374185,0.0,9.901064578912528,11.594566004035068,0.0,0.0,0.0,6.923737199690624,5.316788604006331,24.26546827384644,0.0,5.749511833283905,5.316788604006331,5.687386274683562,5.749511833283905,0.0,11.013707124192212,4.794537184071822,0.0,6.923737199690624,24.26546827384644,0.0,0.0,0.0,49.33,0.0,4.794537184071822,0.0,11.65669156263541,5.687386274683562,0.0,19.056471336613843,12.13273413692322,0.0,5.316788604006331,5.106527394840706,0.0,0.0,10.524468537414966,11.460032596371882,0.6900925925925929,0.07851095993953194,6.309537037037037,0.0,1.437358276643991,0.0,0.125,11,2,3,0,0,0,1,0,1,2,2,3,1,0,0,0,1,1.3505999999999998,42.41050000000002,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21.3,10.50204081632653,-0.035925925925925695,10.50204081632653,0.035925925925925695,0.6227994751052723,135.16599999999997,126.09399999999998,135.068413908,52,0,0.22074740345902855,-0.3263390909376533,0.3263390909376533,0.22074740345902855,1.3,1.9,2.4,16.148138973245246,10.302856209324126,1.8956151919549569,-1.9774375896580278,2.0295726022577445,-2.0432470871370105,5.879629305190224,-0.11373374164548612,2.6742416022951265,217.9590174505521,7.397341225498538,5.794999636411993,5.794999636411993,4.787693700234704,3.114807747754891,3.114807747754891,2.0472116216323366,2.0472116216323366,1.0941576719540291,1.0941576719540291,0.7247493182822928,0.7247493182822928,-1.31,-666,6.805074798619103,3.011779444695785,1.89537540220571,59.87267163194198,5.316788604006331,0.0,0.0,5.907179729351506,0.0,0.0,4.794537184071822,0.0,0.0,0.0,18.19910120538483,12.13273413692322,12.611123474374185,0.0,4.794537184071822,11.594566004035068,0.0,0.0,0.0,6.923737199690624,5.316788604006331,30.33183534230805,0.0,0.0,5.316788604006331,5.687386274683562,0.0,0.0,5.907179729351506,4.794537184071822,0.0,6.923737199690624,30.33183534230805,0.0,0.0,0.0,29.1,0.0,4.794537184071822,0.0,5.907179729351506,0.0,5.687386274683562,6.923737199690624,0.0,30.33183534230805,5.316788604006331,0.0,0.0,0.0,10.50204081632653,2.6658333333333335,0.8425925925925928,-0.035925925925925695,9.365736961451248,0.0,1.4930555555555556,0.0,0.125,10,1,2,0,0,0,1,0,1,1,1,2,1,0,0,0,1,1.6449999999999998,40.74570000000002,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11.73,9.0,-0.8333333333333333,9.0,0.8333333333333333,0.4298828832001217,60.05200000000001,56.02,60.021129368000004,24,0,0.2996845531582142,-0.481433475172105,0.481433475172105,0.2996845531582142,2.0,2.0,2.0,16.363929068063165,10.854985217204096,1.6509951854331448,-1.5897739953032315,1.4156543939895583,-1.7770437432804942,5.624779759282926,-0.1339289924624054,2.8030394876740514,27.019550008653873,3.5773502691896257,2.355461885963821,2.355461885963821,1.7320508075688772,0.9277309429819105,0.9277309429819105,0.5190180358994382,0.5190180358994382,0.0,0.0,0.0,0.0,-0.53,-666,3.4699999999999998,0.8748582995951415,1.1560092559629747,24.059948994465934,5.106527394840706,0.0,0.0,0.0,5.969305287951849,0.0,4.794537184071822,0.0,0.0,0.0,0.0,0.0,6.923737199690624,0.0,9.901064578912528,5.969305287951849,0.0,0.0,0.0,6.923737199690624,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.075832682792555,4.794537184071822,0.0,6.923737199690624,0.0,0.0,0.0,0.0,37.3,5.969305287951849,0.0,0.0,0.0,0.0,6.923737199690624,0.0,0.0,0.0,0.0,9.901064578912528,0.0,0.0,9.0,7.416666666666666,0.0,-0.8333333333333333,0.0,0.0,1.0833333333333333,0.0,0.5,4,1,2,0,0,0,0,0,0,1,1,2,0,0,0,0,0,0.09089999999999993,13.309800000000001,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10.5,9.811111111111112,-0.5624999999999998,9.811111111111112,0.5624999999999998,0.32146962429561426,102.089,96.041,102.031694052,40,0,0.3097681903271179,-0.3935616726354605,0.3935616726354605,0.3097681903271179,1.1428571428571428,1.4285714285714286,1.4285714285714286,16.576398356896366,10.745702452279913,1.9314006682476783,-1.8724800202007796,1.7331007082090732,-2.0257745752792733,5.819357405685582,-0.15580579031892713,3.318019590380522,83.10802962390817,5.8618073195657985,4.224744871391589,4.224744871391589,3.125897657686229,1.8164965809277263,1.8164965809277263,1.0852253202103586,1.0852253202103586,0.2874574785652649,0.2874574785652649,0.20240575138529343,0.20240575138529343,-0.8600000000000001,-666,6.14,2.3368296745854065,5.14,41.27066680061378,4.736862953800049,0.0,0.0,0.0,0.0,11.938610575903699,9.589074368143644,0.0,0.0,0.0,0.0,0.0,13.847474399381248,0.0,14.325937321943691,11.938610575903699,0.0,0.0,0.0,13.847474399381248,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.938610575903699,14.325937321943691,0.0,13.847474399381248,0.0,0.0,0.0,0.0,43.370000000000005,11.938610575903699,9.589074368143644,0.0,0.0,0.0,0.0,13.847474399381248,0.0,0.0,4.736862953800049,0.0,3.9722222222222223,0.0,19.62222222222222,0.0,0.0,-1.1249999999999996,0.0,0.0,2.363888888888889,0.0,0.5,7,0,3,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0.09600000000000009,22.44699999999999,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5.77,9.444444444444445,0.16666666666666674,9.444444444444445,0.16666666666666674,0.3982369618339747,58.080000000000005,52.032000000000004,58.041864812,24,0,0.12626794356014373,-0.30034390268719197,0.30034390268719197,0.12626794356014373,1.5,1.5,1.5,16.136528004376025,10.550822254593735,1.6191254887288427,-1.5578363654489205,1.5007222223890129,-1.6913205217908904,5.7170692462328105,-0.11449259533352324,2.8030394876740514,26.264662506490403,3.5773502691896257,2.908248290463863,2.908248290463863,1.7320508075688772,1.2041241452319316,1.2041241452319316,0.9082482904638631,0.9082482904638631,0.0,0.0,0.0,0.0,-0.33,-666,3.67,1.0445318352059925,6.883957759412302,25.63065735666653,4.794537184071822,5.783244946364939,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.847474399381248,0.0,0.0,4.794537184071822,5.783244946364939,0.0,0.0,0.0,13.847474399381248,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.783244946364939,4.794537184071822,0.0,13.847474399381248,0.0,0.0,0.0,0.0,17.07,0.0,4.794537184071822,0.0,5.783244946364939,0.0,0.0,13.847474399381248,0.0,0.0,0.0,0.0,0.0,0.0,9.444444444444445,0.0,0.0,0.16666666666666674,0.0,0.0,3.0555555555555554,0.0,0.6666666666666666,4,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0.5952999999999999,16.355,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8.16,7.319444444444445,1.4305555555555556,7.319444444444445,1.4305555555555556,0.3869805798690774,41.053,38.028999999999996,41.026549096,16,0,0.05871482377124906,-0.1986584259265234,0.1986584259265234,0.05871482377124906,2.0,2.0,2.0,14.199772541067192,10.95508811650909,1.1727325265919901,-1.1465232203603164,1.2146152150896594,-1.100101722274293,4.507020971444977,1.4896531954173182,2.475534205527556,24.264662506490403,2.7071067811865475,1.9472135954999579,1.9472135954999579,1.4142135623730951,0.7236067977499789,0.7236067977499789,0.22360679774997896,0.22360679774997896,0.0,0.0,0.0,0.0,-0.51,-666,2.490000000000001,1.4900000000000018,1.489999999999999,19.496772823694872,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.261891554738487,0.0,0.0,0.0,6.923737199690624,6.069221312792274,0.0,0.0,5.261891554738487,0.0,0.0,6.923737199690624,0.0,0.0,0.0,6.069221312792274,0.0,0.0,0.0,0.0,0.0,0.0,11.33111286753076,6.923737199690624,0.0,0.0,0.0,0.0,23.79,0.0,0.0,0.0,0.0,0.0,0.0,6.923737199690624,6.069221312792274,0.0,0.0,5.261891554738487,0.0,0.0,0.0,7.319444444444445,0.0,0.0,1.75,0.0,1.4305555555555556,0.0,0.5,3,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0.52988,11.287,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
