smiles,name,fusH,mpK
CP(C)(C)=O,trimethylphosphine oxide,7.21513,243.9546
O=P(CC)(CC)CC,triethylphosphine oxide,13.8251,247.1849
O=P(CCC)(CCC)CCC,tripropylphosphine oxide,27.9834,291.8013
O=P(CCCC)(CCCC)CCCC,tributylphosphine oxide,33.3902,325.206
O=P(CCCCC)(CCCCC)CCCCC,tripentylphosphine oxide,44.6537,326.7038
O=P(CCCCCC)(CCCCCC)CCCCCC,trihexylphosphine oxide,52.0468,325.9374
O=P(CCCCCCC)(CCCCCCC)CCCCCCC,triheptylphosphine oxide,55.732,331.2275
O=P(CCCCCCCC)(CCCCCCCC)CCCCCCCC,trioctylphosphine oxide,59.4991,334.1805
O=P(CCCCCCCCC)(CCCCCCCCC)CCCCCCCCC,trinonylphosphine oxide,62.842,339.7005
O=P(CCCCCCCCCC)(CCCCCCCCCC)CCCCCCCCCC,tris(decyl)phosphine oxide,66.7718,342.4887
CS(C)=O,(methylsulfinyl)methane,11.34041,262.247
CS(CC)=O,(methylsulfinyl)ethane,10.1899,241.2276
CS(CCC)=O,1-(methylsulfinyl)propane,11.31369,237.8914
CS(CCCC)=O,1-(methylsulfinyl)butane,12.39359,235.8528
CS(CCCCC)=O,1-(methylsulfinyl)pentane,16.11506,239.6182
CS(CCCCCC)=O,1-(methylsulfinyl)hexane,20.2319,243.7116333
CS(CCCCCCC)=O,1-(methylsulfinyl)heptane,24.7348,263.0278
CS(CCCCCCCC)=O,1-(methylsulfinyl)octane,27.0002,269.6032
CS(CCCCCCCCC)=O,1-(methylsulfinyl)nonane,29.957,279.5291
CS(CCCCCCCCCC)=O,1-(methylsulfinyl)decane,31.7026,288.2599
CS(CCCCCCCCCCC)=O,1-(methylsulfinyl)undecane,33.8227,295.1647
CS(CCCCCCCCCCCC)=O,1-(methylsulfinyl)dodecane,37.7034,304.1824
CS(CCCCCCCCCCCCC)=O,1-(methylsulfinyl)tridecane,39.4687,307.6126
O=S(CC)CC,(ethylsulfinyl)ethane,10.88516,236.0018
O=S(CCC)CCC,1-(propylsulfinyl)propane,15.74584,242.4078
O=S(CCCC)CCCC,1-(butylsulfinyl)butane,25.0167,281.701
O=S(CCCCC)CCCCC,1-(pentylsulfinyl)pentane,29.5317,282.0902
O=S(CCCCCC)CCCCCC,1-(hexylsulfinyl)hexane,33.2565,295.1636
O=S(CCCCCCC)CCCCCCC,1-(heptylsulfinyl)heptane,41.817,308.3694
O=S(CCCCCCCC)CCCCCCCC,1-(octylsulfinyl)octane,47.262,315.2094
O=S(CCCCCCCCC)CCCCCCCCC,1-(nonylsulfinyl)nonane,53.1762,318.9308
O=S(CCCCCCCCCC)CCCCCCCCCC,1-(decylsulfinyl)decane,54.2151,322.8532
O=S(CCCCCCCCCCC)CCCCCCCCCCC,1-(undecylsulfinyl)undecane,54.2671,329.1562
O=S(CCCCCCCCCCCC)CCCCCCCCCCCC,1-(dodecylsulfinyl)dodecane,57.7223,333.431
O=S(CCCCCCCCCCCCC)CCCCCCCCCCCCC,1-(tridecylsulfinyl)tridecane,59.6797,337.9562
O=C(N(C)C)N(C)C,"1,1,3,3-tetramethylurea",13.11047,275.1048
O=C(N(C)CC)N(C)CC,"1,3-diethyl-1,3-dimethylurea",19.67337,260.5776667
O=C(N(CC)CC)N(CC)CC,"1,1,3,3-tetraethylurea",26.7579,283.1748333
O=C(N(CC)CCC)N(CC)CCC,"1,3-diethyl-1,3-dipropylurea",30.9987,302.1653
O=C(N(CCC)CCC)N(CCC)CCC,"1,1,3,3-tetrapropylurea",34.3875,314.2732
O=C(N(CCC)CCCC)N(CCC)CCCC,"1,3-dibutyl-1,3-dipropylurea",40.0808,318.8914
O=C(N(CCCC)CCCC)N(CCCC)CCCC,"1,1,3,3-tetrabutylurea",44.3847,321.8111
