smiles,name,fusH,mpK
NCC(O)=O,Glycine,13.39613333,389.4544
N[C@@H](C)C(O)=O,Alanine,15.63583333,434.5939
O=C(O)[C@H]1NCCC1,Proline,15.19537,382.7868
N[C@@H](C(C)C)C(O)=O,Valine,14.36167,457.5493333
N[C@@H](CC(C)C)C(O)=O,Leucine,16.05187,441.2566
N[C@@H]([C@@H](C)CC)C(O)=O,Isoleucine,15.56257,449.4252
N[C@@H](CCSC)C(O)=O,Methionine,19.882,433.5945
N[C@@H](CC1=CC=CC=C1)C(O)=O,Phenylalanine,21.2042,424.7175
N[C@@H](CC1=CC=C(O)C=C1)C(O)=O,Tyrosine,23.9414,492.6521333
N[C@@H](CC1=CNC2=C1C=CC=C2)C(O)=O,Tryptophan,26.9961,461.038
N[C@@H](CO)C(O)=O,Serine,15.8674,456.6727
N[C@@H]([C@H](O)C)C(O)=O,Threonine,15.02752,465.0016667
N[C@@H](CS)C(O)=O,Cysteine,15.54415,443.8677
N[C@@H](CC(N)=O)C(O)=O,Asparagine,16.6732,468.269
N[C@@H](CCC(N)=O)C(O)=O,Glutamine,21.758,437.9203333
N[C@@H](CCCCN)C(O)=O,Lysine,23.0268,424.9626667
N[C@@H](CC1=CNC=N1)C(O)=O,Histidine,21.423,444.2962
N[C@@H](CCCNC(N)=N)C(O)=O,Arginine,25.1537,435.7678667
N[C@@H](CC(O)=O)C(O)=O,Aspartic acid,16.8323,500.5938667
N[C@@H](CCC(O)=O)C(O)=O,Glutamic acid,22.8511,440.994
OC(CO)C=O,Glyceraldehyde,13.95442667,351.4221
O=C[C@@H]([C@@H](CO)O)O,Erythrose,14.10121667,403.9063333
O=C[C@H]([C@@H](CO)O)O,Threose,14.10121667,403.9063333
O=C[C@@H]([C@@H]([C@@H](CO)O)O)O,Ribose,19.5094,413.5056
O=C[C@H]([C@@H]([C@@H](CO)O)O)O,Arabinose,19.5094,413.5056
O=C[C@@H]([C@H]([C@@H](CO)O)O)O,Xylose,19.5094,413.5056
O=C[C@H]([C@H]([C@@H](CO)O)O)O,Lyxose,19.5094,413.5056
O=C[C@@H]([C@@H]([C@@H]([C@@H](CO)O)O)O)O,Allose,22.3337,434.388
O=C[C@H]([C@@H]([C@@H]([C@@H](CO)O)O)O)O,Altrose,22.3337,434.388
O=C[C@@H]([C@H]([C@@H]([C@@H](CO)O)O)O)O,Glucose,22.3337,434.388
O=C[C@H]([C@H]([C@@H]([C@@H](CO)O)O)O)O,Mannose,22.3337,434.388
O=C[C@@H]([C@@H]([C@H]([C@@H](CO)O)O)O)O,Gulose,22.3337,434.388
O=C[C@H]([C@@H]([C@H]([C@@H](CO)O)O)O)O,Idose,22.3337,434.388
O=C[C@@H]([C@H]([C@H]([C@@H](CO)O)O)O)O,Galactose,22.3337,434.388
O=C[C@H]([C@H]([C@H]([C@@H](CO)O)O)O)O,Talose,22.3337,434.388
O=C(CO)CO,Dihydroxyacetone,13.80375,358.7187
OCC([C@@H](CO)O)=O,Erythrulose,14.0873,408.1405714
OCC([C@@H]([C@@H](CO)O)O)=O,Ribulose,19.29377,424.1418048
OCC([C@H]([C@@H](CO)O)O)=O,Xylulose,19.29377,424.1418048
OCC([C@@H]([C@@H]([C@@H](CO)O)O)O)=O,Psicose,21.83687,432.8289667
OCC([C@H]([C@@H]([C@@H](CO)O)O)O)=O,Fructose,21.83687,432.8289667
OCC([C@@H]([C@H]([C@@H](CO)O)O)O)=O,Sorbose,21.83687,432.8289667
OCC([C@H]([C@H]([C@@H](CO)O)O)O)=O,Tagatose,21.83687,432.8289667
CCCCCCCCCCCC(O)=O,Lauric acid,35.992,315.5722
CCCCCCCCCCCCCC(O)=O,Myristic acid,41.402,324.7712
CCCCCCCCCCCCCCCC(O)=O,Palmitic acid,48.5867,333.2138
CCCCCCCCCCCCCCCCCC(O)=O,Stearic acid,55.7338,339.8672
CCCCCCCCCCCCCCCCCCCC(O)=O,Arachidic acid,55.3744,346.524
CCCCCCCCCCCCCCCCCCCCCCCC(O)=O,Lignoceric acid,57.4796,351.1217
CC(C)CCC[C@@H](C)[C@H]1CC[C@@]2([H])[C@]3([H])CC=C4C[C@@H](O)CC[C@]4(C)[C@@]3([H])CC[C@]12C,Cholesterol,46.1083,409.1141
