smiles,mpK
C1(CCC1)C,111.49
[O-][N+]#N,182.2
FS(F)(=O)=O,137.2
CC(C)N(CCC(c1ccccn1)(c2ccccc2)C(N)=O)C(C)C,367.8
BrBr,265.8
O=C(O)C2=CN(CC)c1c(F)c(c(F)cc1C2=O)N3CC(C)NCC3,512.75
CN(C)C,156
ClC(Cl)(Cl)Cl,250
II,386.5
C#C,192.2
CC(Cl)Cl,176
CC(CO)(CO)[N+](=O)[O-],423
c1cc(sc1)Cl,201
CCCOC(=O)CC,197
CC(=C)OC(=O)C,180
CCCOC=O,180
Cc1c(cc(cc1[N+](=O)[O-])[N+]([O-])=O)[N+]([O-])=O,353
CCc1cccc(CC)c1,189
CC(=CCCC(=O)C)C,206
CC(C)C(C)(C)CC,172
CC(C)(CC)CCC,147
CC(C)(C)CCCC,152
C=C(C)C(C)(C)C,163
CC(C)C(CC)CC,158
CCSCCCC,178
Cc1ccc(CC)cc1C,206
CC(CC)(CC)CC,182
CC(C)CC(C)C(C)C,145
CC(C)CCCC(C)C,170
CC=1CCCCC=1C,189
CCCC1CCCCC1,178
C(=C(Cl)Cl)(C(Cl)(Cl)Cl)Cl,200
CCc1cc(C)cc(CC)c1,199
C=C(C)CC(C)C,149
C/C(C)=C(/C)CCC,158
CC(C)C(C)(C)C(C)C,171
CCC=1CCCCC=1,163
C1CC1CCl,182
CC1CCCC1CC,167.1
CC(C)C1CC1,160
CC(C)CC#CC,180
CCC1CCC1,130
CCC/C=CC,132
CC(=O)OCCOC,208
CCc1cccnc1,196
C1CCCS1,177
BrCCl,185
CC1CO1,161
CC(=C)C=C,127
CC(=O)OC(C)CC,174
CCCCCCC(=O)OCC,207
CCCC#N,161
CCSCC,169
CCSC,167
CCCCC#C,141
CCCCC#CCC,169
CCc1cnc(C)cc1,202
CCc1ccccc1Br,205
COc5ccc(CCN1CCC(CC1)Nc3nc2ccccc2n3Cc4ccc(F)cc4)cc5,422
C1=CC=C(C=C1)C2=CC=C(C=C2)C(=O)CCC(=O)O,459
CCc1ccccc1,178
CCCCCl,150
C1C=CCC1,138
CCCCc1ccccc1,185
OCCOC,188
O=C1C=C(C)CC(C)(C)C1,265
C(CBr)Br,283
CCCCCCCCCCCCCCC=C,277
CCCCCCCCCCCCCCC,282.9
CC(C)OC(=O)/C=C/C(=O)OC(C)C,275
CCc1ccccn1,210
C(CCl)CBr,214
COC(=O)C(Cl)Cl,221
CC(c1ccccc1)c2ccccc2,255
Cc1cc(C)ccc1CC,210
CCC(CC)(CC)CC,240
C=Cc1ccccc1Cl,210
CCCCCCCCCS,253
CCCCCCCCC(C)C,224
ClS(Cl)(=O)=O,219
c1cc(cnc1)CN,252
COC(=O)CCl,241
CC(=O)OCCc1ccccc1,242
CC(C)c1cccc(c1)C(C)C,210
Cc1cccnc1,255
CCCCCCCCCCCCCCCC,291
C1CC[C@@H]2CCCC[C@@H]2C1,230
O=C(OC)CC(=O)OC,211
CCc1ccc2ccccc2c1,265.65
C1(CC1)C,95.84
c1cc(cc(c1)S(=O)(=O)Cl)[N+](=O)[O-],334
CCc1ccc(cc1)CC,230
CC(Cl)(F)F,142
O=C=S,134
CC1CC=CC1,112
CC1(CC)CCCC1,129
CCC1CC1,124
CC1(CC)CC1,143
CC1CC1(C)C,135
C=CC=C/C,132
Clc1ccc2N=C(C[N+]([O-])=C(c2c1)c3ccccc3)NC,509
CCS,125
C=CC,88
C1(=C(C(=C(C(=C1Cl)Cl)Cl)Cl)Cl)C2=C(C(=C(C(=C2Cl)Cl)Cl)Cl)Cl,579
CN1CCN(C1=O)C,281
CCCCCCCCCCCCCCCCCCBr,301
Cc1cccc(c1)I,246
C1CCN(CC1)C=O,242
Cc1cccc(C)c1CC,257
Cc1cccc(C)c1I,284
CC(C)(C)C(C)(C)CC,263
C(C(F)F)O,245
O=[N+]([O-])C([N+]([O-])=O)([N+](=O)[O-])[N+]([O-])=O,287
Cc1cc(cc(c1)N)C,283
Cc1c(c(c(c(c1F)F)F)F)F,243
Cc1ccccc1C,248
CC(=C)c1ccccc1,250
CCc1ccccc1CC,242
