compound,fusH,algorithm
1,7.21513,RF
2,13.8251,RF
3,27.9834,RF
4,33.3902,RF
5,44.6537,RF
6,52.0468,RF
7,55.732,RF
8,59.4991,RF
9,62.842,RF
10,66.7718,RF
11,11.34041,RF
12,10.1899,RF
13,11.31369,RF
14,12.39359,RF
15,16.11506,RF
16,20.2319,RF
17,24.7348,RF
18,27.0002,RF
19,29.957,RF
20,31.7026,RF
21,33.8227,RF
22,37.7034,RF
23,39.4687,RF
24,10.88516,RF
25,15.74584,RF
26,25.0167,RF
27,29.5317,RF
28,33.2565,RF
29,41.817,RF
30,47.262,RF
31,53.1762,RF
32,54.2151,RF
33,54.2671,RF
34,57.7223,RF
35,59.6797,RF
36,13.11047,RF
37,19.67337,RF
38,26.7579,RF
39,30.9987,RF
40,34.3875,RF
41,40.0808,RF
42,44.3847,RF
43,46.9421,RF
44,49.097,RF
45,54.0581,RF
46,57.922,RF
47,62.1243,RF
48,13.97238,RF
49,22.3383,RF
50,27.8765,RF
51,31.5507,RF
52,34.8151,RF
53,37.8332,RF
54,46.9692,RF
55,51.1067,RF
56,17.3499,RF
57,22.3017,RF
58,24.9869,RF
59,27.9934,RF
60,29.7557,RF
61,13.39613333,RF
62,15.63583333,RF
63,15.19537,RF
64,14.36167,RF
65,16.05187,RF
66,15.56257,RF
67,19.882,RF
68,21.2042,RF
69,23.9414,RF
70,26.9961,RF
71,15.8674,RF
72,15.02752,RF
73,15.54415,RF
74,16.6732,RF
75,21.758,RF
76,23.0268,RF
77,21.423,RF
78,25.1537,RF
79,16.8323,RF
80,22.8511,RF
81,13.95442667,RF
82,14.10121667,RF
83,14.10121667,RF
84,19.5094,RF
85,19.5094,RF
86,19.5094,RF
87,19.5094,RF
88,22.3337,RF
89,22.3337,RF
90,22.3337,RF
91,22.3337,RF
92,22.3337,RF
93,22.3337,RF
94,22.3337,RF
95,22.3337,RF
96,13.80375,RF
97,14.0873,RF
98,19.29377,RF
99,19.29377,RF
100,21.83687,RF
101,21.83687,RF
102,21.83687,RF
103,21.83687,RF
104,35.992,RF
105,41.402,RF
106,48.5867,RF
107,55.7338,RF
108,55.3744,RF
109,57.4796,RF
110,46.1083,RF
1,7.043465614,XGB
2,9.855822563,XGB
3,25.2418499,XGB
