compound,mpK,algorithm
1,243.9546,RF
2,247.1849,RF
3,291.8013,RF
4,325.206,RF
5,326.7038,RF
6,325.9374,RF
7,331.2275,RF
8,334.1805,RF
9,339.7005,RF
10,342.4887,RF
11,262.247,RF
12,241.2276,RF
13,237.8914,RF
14,235.8528,RF
15,239.6182,RF
16,243.7116333,RF
17,263.0278,RF
18,269.6032,RF
19,279.5291,RF
20,288.2599,RF
21,295.1647,RF
22,304.1824,RF
23,307.6126,RF
24,236.0018,RF
25,242.4078,RF
26,281.701,RF
27,282.0902,RF
28,295.1636,RF
29,308.3694,RF
30,315.2094,RF
31,318.9308,RF
32,322.8532,RF
33,329.1562,RF
34,333.431,RF
35,337.9562,RF
36,275.1048,RF
37,260.5776667,RF
38,283.1748333,RF
39,302.1653,RF
40,314.2732,RF
41,318.8914,RF
42,321.8111,RF
43,332.562,RF
44,334.102,RF
45,339.549,RF
46,342.73,RF
47,345.353,RF
48,282.4474,RF
49,279.5312,RF
50,299.3868333,RF
51,317.0904,RF
52,321.1754,RF
53,326.3861,RF
54,328.7909,RF
55,336.33,RF
56,275.637,RF
57,283.1294,RF
58,288.434,RF
59,300.291,RF
60,309.674,RF
61,389.4544,RF
62,434.5939,RF
63,382.7868,RF
64,457.5493333,RF
65,441.2566,RF
66,449.4252,RF
67,433.5945,RF
68,424.7175,RF
69,492.6521333,RF
70,461.038,RF
71,456.6727,RF
72,465.0016667,RF
73,443.8677,RF
74,468.269,RF
75,437.9203333,RF
76,424.9626667,RF
77,444.2962,RF
78,435.7678667,RF
79,500.5938667,RF
80,440.994,RF
81,351.4221,RF
82,403.9063333,RF
83,403.9063333,RF
84,413.5056,RF
85,413.5056,RF
86,413.5056,RF
87,413.5056,RF
88,434.388,RF
89,434.388,RF
90,434.388,RF
91,434.388,RF
92,434.388,RF
93,434.388,RF
94,434.388,RF
95,434.388,RF
96,358.7187,RF
97,408.1405714,RF
98,424.1418048,RF
99,424.1418048,RF
100,432.8289667,RF
101,432.8289667,RF
102,432.8289667,RF
103,432.8289667,RF
104,315.5722,RF
105,324.7712,RF
106,333.2138,RF
107,339.8672,RF
108,346.524,RF
109,351.1217,RF
110,409.1141,RF
1,269.270874,XGB
2,264.0667419,XGB
3,297.3158264,XGB
4,339.9994507,XGB
5,296.030426,XGB
6,299.5849609,XGB
7,324.8325195,XGB
8,325.0002441,XGB
9,321.4647827,XGB
10,315.9879456,XGB
11,291.399292,XGB
12,247.6070251,XGB
13,261.6566467,XGB
14,262.1891174,XGB
15,260.3023071,XGB
16,267.8875427,XGB
17,249.8089752,XGB
18,273.1561584,XGB
19,323.9967651,XGB
20,309.6891479,XGB
21,317.2805176,XGB
22,322.662323,XGB
23,328.3000183,XGB
24,262.6246033,XGB
25,266.2463379,XGB
26,305.9994202,XGB
27,288.4864807,XGB
28,320.9962158,XGB
29,321.0319519,XGB
30,319.8027039,XGB
31,297.4178772,XGB
32,296.7783203,XGB
33,336.0739136,XGB
34,336.2668152,XGB
35,335.9789124,XGB
36,272.0000305,XGB
37,249.8564148,XGB
38,250.112442,XGB
39,314.9906311,XGB
40,300.1680603,XGB
41,306.2324524,XGB
42,292.901001,XGB
43,306.8398743,XGB
44,302.5031128,XGB
45,296.0928955,XGB
46,295.8722229,XGB
47,302.8976746,XGB
48,229.4036102,XGB
49,270.9798279,XGB
50,298.6485596,XGB
51,345.9108276,XGB
52,341.149231,XGB
53,316.5609131,XGB
54,308.2261658,XGB
55,309.8641357,XGB
56,284.1461182,XGB
57,298.4313049,XGB
58,292.1428528,XGB
59,345.3656311,XGB
60,346.1108093,XGB
61,416.5657959,XGB
62,489.8625183,XGB
63,389.0932312,XGB
64,527.3309937,XGB
65,474.9302368,XGB
66,516.9509888,XGB
67,476.5215149,XGB
68,499.697113,XGB
69,494.1552429,XGB
70,489.4942627,XGB
71,508.8239136,XGB
72,482.9306641,XGB
73,432.602478,XGB
74,526.4181519,XGB
75,535.9142456,XGB
76,523.4827271,XGB
77,538.5289917,XGB
78,502.2165527,XGB
79,548.000061,XGB
80,554.9169922,XGB
81,329.4561768,XGB
82,387.7605591,XGB
83,387.7605591,XGB
84,431.3125,XGB
85,431.3125,XGB
86,431.3125,XGB
87,431.3125,XGB
88,438.9995422,XGB
89,438.9995422,XGB
90,438.9995422,XGB
91,438.9995422,XGB
92,438.9995422,XGB
93,438.9995422,XGB
94,438.9995422,XGB
95,438.9995422,XGB
96,371.3582153,XGB
97,364.9243774,XGB
98,396.1437073,XGB
99,396.1437073,XGB
100,397.1594238,XGB
101,397.1594238,XGB
102,397.1594238,XGB
103,397.1594238,XGB
104,317.9968262,XGB
105,328.0977783,XGB
106,335.4971924,XGB
107,340.9978027,XGB
108,347.9975586,XGB
109,350.2328186,XGB
110,420.9998474,XGB
1,231.240448,MLP
2,241.3422394,MLP
3,276.1886902,MLP
4,328.9432983,MLP
5,344.0276489,MLP
6,356.999054,MLP
7,358.6652222,MLP
8,356.6863708,MLP
9,357.3913269,MLP
10,363.7262268,MLP
11,256.3283386,MLP
12,189.4456024,MLP
13,187.0429077,MLP
14,188.5214996,MLP
15,201.0621033,MLP
16,219.2098694,MLP
17,243.5489502,MLP
18,264.4554443,MLP
19,282.7692871,MLP
20,296.6874084,MLP
21,309.8666382,MLP
22,319.1173096,MLP
23,327.9029236,MLP
24,193.9349518,MLP
25,198.6270142,MLP
26,236.4417572,MLP
27,280.3100586,MLP
28,312.7893066,MLP
29,327.3000488,MLP
30,341.5516663,MLP
31,350.010376,MLP
32,351.7545776,MLP
33,350.6603394,MLP
34,351.0465393,MLP
35,352.3399963,MLP
36,319.9293213,MLP
37,280.9660034,MLP
38,292.3703613,MLP
39,291.7059937,MLP
40,310.9958496,MLP
41,319.9499512,MLP
42,331.5350647,MLP
43,337.8865356,MLP
44,350.6981812,MLP
45,343.7616272,MLP
46,348.7562866,MLP
47,343.5487366,MLP
48,293.5185852,MLP
49,273.2714233,MLP
50,282.6590881,MLP
51,302.6107788,MLP
52,312.9137268,MLP
53,322.5638733,MLP
54,331.262146,MLP
55,333.6999817,MLP
56,275.951355,MLP
57,270.8468933,MLP
58,275.5882874,MLP
59,284.9442749,MLP
60,292.8101807,MLP
61,385.1818237,MLP
62,404.4725647,MLP
63,398.0827026,MLP
64,398.6199646,MLP
65,398.5419922,MLP
66,396.5700073,MLP
67,389.5486755,MLP
68,414.6024475,MLP
69,462.445282,MLP
70,514.4273071,MLP
71,432.6257629,MLP
72,431.5393677,MLP
73,428.6929932,MLP
74,497.3096313,MLP
75,473.514801,MLP
76,421.9115906,MLP
77,503.0137939,MLP
78,475.6135864,MLP
79,463.7049561,MLP
80,432.4215088,MLP
81,326.6976318,MLP
82,376.8484192,MLP
83,376.8484192,MLP
84,402.7171021,MLP
85,402.7171021,MLP
86,402.7171021,MLP
87,402.7171021,MLP
88,423.240509,MLP
89,423.240509,MLP
90,423.240509,MLP
91,423.240509,MLP
92,423.240509,MLP
93,423.240509,MLP
94,423.240509,MLP
95,423.2404785,MLP
96,360.0527649,MLP
97,387.6987,MLP
98,413.588562,MLP
99,413.588562,MLP
100,432.0141907,MLP
101,432.0141907,MLP
102,432.0141907,MLP
103,432.0141907,MLP
104,338.4603882,MLP
105,350.5066528,MLP
106,360.8186951,MLP
107,369.5411377,MLP
108,371.3226624,MLP
109,367.8235779,MLP
110,433.8291016,MLP
